comunidad,anio,salario_medio,ipc_valor,poder_adquisitivo
"Balears, Illes",2012,20947.27,92.71741666666667,225.9259452332311
"Balears, Illes",2013,20786.48,94.02341666666666,221.0776925251777
"Balears, Illes",2014,21367.006666666668,93.88133333333333,227.595901208618
"Balears, Illes",2015,21441.35,93.41158333333334,229.53630839858366
"Balears, Illes",2016,21489.263333333332,93.22233333333334,230.51625683402042
"Balears, Illes",2017,22013.49,95.04583333333333,231.60920608478366
"Balears, Illes",2018,22774.73,96.63783333333333,235.6709501282279
"Balears, Illes",2019,23290.303333333333,97.31383333333333,239.33188669647856
"Balears, Illes",2020,23859.726666666666,96.99975,245.97719753573244
"Balears, Illes",2021,24126.0,100.00008333333334,241.25979895016752
"Balears, Illes",2022,27118.660000000003,108.39066666666668,250.19368211285106
"Balears, Illes",2023,27517.36666666667,112.21941666666667,245.2103876854347
Canarias,2008,18371.923333333336,86.39866666666667,212.64128304449144
Canarias,2009,18854.643333333337,86.14999999999999,218.8583091507062
Canarias,2010,19301.43,87.70058333333333,220.08325676283036
Canarias,2011,19477.586666666666,90.50358333333332,215.2134307757612
Canarias,2012,19288.726666666666,92.71741666666667,208.03779225226472
Canarias,2013,19155.406666666666,94.02341666666666,203.7301700551547
Canarias,2014,19426.483333333334,93.88133333333333,206.92594196929457
Canarias,2015,19824.36333333333,93.41158333333334,212.2259641247204
Canarias,2016,19703.303333333333,93.22233333333334,211.35818670061178
Canarias,2017,20131.573333333334,95.04583333333333,211.80910964008592
Canarias,2018,20716.039999999997,96.63783333333333,214.3678028101485
Canarias,2019,20828.216666666664,97.31383333333333,214.0314069770827
Canarias,2020,21596.77,96.99975,222.6476872363073
Canarias,2021,22421.52,100.00008333333334,224.2150131541557
Canarias,2022,23086.86666666667,108.39066666666668,212.99681399382482
Canarias,2023,24025.690000000002,112.21941666666667,214.09565932217612
Cantabria,2008,20125.846666666668,86.39866666666667,232.94163490177317
Cantabria,2009,20671.170000000002,86.14999999999999,239.94393499709813
Cantabria,2010,20989.63,87.70058333333333,239.33284366219536
Cantabria,2011,20777.38666666667,90.50358333333332,229.57529305929882
Cantabria,2012,20091.133333333335,92.71741666666667,216.6921173565916
Cantabria,2013,19939.686666666665,94.02341666666666,212.07149637368704
Cantabria,2014,21184.53,93.88133333333333,225.65220633139708
Cantabria,2015,21690.81,93.41158333333334,232.20685514555208
Cantabria,2016,21829.97,93.22233333333334,234.1710319773159
Cantabria,2017,22217.513333333336,95.04583333333333,233.7557844899391
Cantabria,2018,22511.283333333336,96.63783333333333,232.94482664656874
Cantabria,2019,23247.703333333335,97.31383333333333,238.89412776189752
Cantabria,2020,23432.02666666667,96.99975,241.56790782106827
Cantabria,2021,24412.47,100.00008333333334,244.12449656291955
Cantabria,2022,25225.36,108.39066666666668,232.72631099848695
Cantabria,2023,26480.45,112.21941666666667,235.970305198224
Castilla - La Mancha,2008,19480.42,86.39866666666667,225.4713035694995
Castilla - La Mancha,2009,19973.106666666667,86.14999999999999,231.84105242793578
Castilla - La Mancha,2010,20189.616666666665,87.70058333333333,230.21074546254442
Castilla - La Mancha,2011,20479.47333333333,90.50358333333332,226.28356335798858
Castilla - La Mancha,2012,20291.37,92.71741666666667,218.85176193972904
Castilla - La Mancha,2013,20475.893333333333,94.02341666666666,217.77440194419654
Castilla - La Mancha,2014,20507.083333333332,93.88133333333333,218.4362173524023
Castilla - La Mancha,2015,20511.22,93.41158333333334,219.57897798185272
Castilla - La Mancha,2016,20636.996666666666,93.22233333333334,221.3739554541651
