comunidad,anio,salario_medio
País Vasco,2010,26336.153333333332
País Vasco,2011,26104.203333333335
País Vasco,2012,26311.303333333333
País Vasco,2013,26638.336666666666
País Vasco,2014,27613.039999999997
País Vasco,2015,27399.12
País Vasco,2016,27303.36666666667
País Vasco,2017,27996.47666666667
País Vasco,2018,28399.47333333333
País Vasco,2019,29401.0
País Vasco,2020,30130.053333333333
País Vasco,2021,30951.39333333333
País Vasco,2022,32241.36333333333
País Vasco,2023,33381.40333333333
"Rioja, La",2008,20529.346666666668
"Rioja, La",2009,21040.716666666667
"Rioja, La",2010,20936.116666666665
"Rioja, La",2011,20945.75333333333
"Rioja, La",2012,20309.993333333336
"Rioja, La",2013,20568.49666666667
"Rioja, La",2014,21909.399999999998
"Rioja, La",2015,21683.86
"Rioja, La",2016,21899.86333333333
"Rioja, La",2017,22136.083333333332
"Rioja, La",2018,22668.456666666665
"Rioja, La",2019,22865.783333333336
"Rioja, La",2020,23305.649999999998
"Rioja, La",2021,23780.236666666668
"Rioja, La",2022,24969.789999999997
"Rioja, La",2023,26369.47
Total Nacional,2008,21665.789999999997
Total Nacional,2009,22338.180000000004
Total Nacional,2010,22668.38666666667
Total Nacional,2011,22778.27666666667
Total Nacional,2012,22648.60666666667
Total Nacional,2013,22629.203333333335
Total Nacional,2014,22776.743333333332
Total Nacional,2015,23050.213333333333
Total Nacional,2016,23070.726666666666
Total Nacional,2017,23548.73
Total Nacional,2018,23919.733333333334
Total Nacional,2019,24337.460000000003
Total Nacional,2020,25091.836666666666
Total Nacional,2021,25820.486666666664
Total Nacional,2022,26896.843333333334
Total Nacional,2023,28004.58
