comunidad,anio,precio_vivienda,salario_medio,tasa_paro_media,Transporte,Otros bienes y servicios,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",Sanidad,Ocio y cultura,Bebidas alcohólicas y tabaco,Restaurantes y hoteles,Vestido y calzado,Comunicaciones,Enseñanza,Alimentos y bebidas no alcohólicas
Castilla - La Mancha,2023,120.26825000000001,24753.35666666667,13.215,112.7095,108.67174999999999,111.87275,102.55575,105.87124999999999,112.505,115.15775000000001,106.76758333333333,102.06475,104.43066666666665,126.23258333333332
Extremadura,2012,120.06550000000001,19569.516666666666,33.075,95.50566666666667,90.36391666666667,99.18158333333334,92.74908333333333,106.94808333333333,87.55533333333334,90.85608333333333,95.69558333333333,111.53233333333333,84.66308333333333,90.44475
"Rioja, La",2019,115.01225000000001,22865.783333333336,9.96,96.23241666666667,97.38916666666667,98.82033333333334,98.02641666666666,101.09933333333333,100.37675,97.235,97.97091666666667,104.43916666666667,99.68566666666668,97.43008333333334
"Madrid, Comunidad de",2014,94.572,26543.839999999997,18.747500000000002,94.75358333333332,90.31416666666667,98.86416666666666,98.22791666666666,99.89375,93.68325,91.8845,94.53933333333333,98.15333333333332,95.95858333333332,90.29208333333332
Comunitat Valenciana,2017,105.3845,21251.313333333335,18.177500000000002,93.09275000000001,95.59566666666666,97.74799999999999,97.36491666666666,99.85383333333334,97.34816666666666,93.92858333333334,96.50191666666666,102.50066666666667,96.71266666666668,93.45341666666667
Comunitat Valenciana,2022,130.636,24443.179999999997,13.290000000000001,112.86591666666668,103.94600000000001,106.3645,101.47091666666667,102.14691666666666,103.83441666666666,106.45375,101.67141666666667,98.64133333333332,101.37783333333334,112.12458333333335
"Asturias, Principado de",2016,101.418,23061.539999999997,17.6075,90.34424999999999,93.59541666666667,98.78391666666666,100.51666666666667,102.55933333333333,95.84083333333332,92.31758333333333,96.14800000000001,100.68075,98.86783333333334,93.02633333333334
Castilla y León,2017,102.71025,21808.87,14.0775,90.93066666666665,95.90941666666667,97.15091666666666,97.18400000000001,101.82233333333333,97.44333333333333,94.26533333333333,96.28758333333333,101.19099999999999,99.51933333333334,93.35575
Andalucía,2016,102.8415,21157.533333333333,28.885,88.91525,95.79558333333334,99.68341666666667,97.33550000000001,100.85633333333334,96.27550000000001,92.83991666666667,96.09375,99.83558333333333,94.35825,92.72516666666667
Castilla y León,2014,98.7745,20370.836666666666,20.765,94.92575,92.95916666666666,97.34191666666668,95.99883333333334,102.25725,94.70275,90.55025,94.78458333333333,99.15741666666666,96.37033333333333,89.76675
Cataluña,2010,139.89249999999998,24364.11666666667,17.6575,84.42399999999999,80.56016666666666,91.7495,85.36525,97.51641666666667,75.00683333333333,86.57683333333334,93.3245,115.83083333333333,79.69025,81.58891666666666
"Asturias, Principado de",2019,110.56049999999999,24882.073333333334,14.1925,98.11749999999999,97.91558333333334,98.80075,100.14766666666667,102.12975,99.50433333333332,96.74141666666667,98.15825,104.51350000000001,99.52299999999998,95.78508333333333
Cataluña,2018,127.54825000000001,25494.323333333334,11.49,96.46758333333332,95.42208333333333,97.68733333333334,98.24158333333334,100.23058333333334,98.25274999999999,96.59075,96.99208333333333,103.74208333333333,101.74966666666666,94.36283333333334
"Murcia, Región de",2014,98.365,20545.696666666667,26.585,96.14008333333334,93.76741666666668,99.53966666666668,97.89225,102.49133333333333,92.935,91.85208333333333,94.85266666666666,99.50991666666665,92.77974999999999,91.836
País Vasco,2009,140.91525000000001,25851.61333333333,11.3375,77.82366666666667,82.84533333333333,91.46575,87.07491666666665,100.47641666666668,68.62466666666667,85.72508333333333,93.51408333333335,115.54808333333334,81.804,83.70458333333333
"Rioja, La",2010,155.023,20936.116666666665,14.145,83.20058333333334,85.60516666666666,92.21,90.38066666666667,97.62516666666666,76.13475,89.13066666666667,93.78866666666666,115.82141666666666,82.13391666666666,84.56858333333334
Castilla y León,2022,125.98775,24169.413333333334,9.93,112.85883333333334,103.49041666666666,106.25908333333332,100.74483333333335,102.34566666666666,103.78108333333334,106.52674999999999,101.28025000000001,98.75016666666666,100.77533333333334,112.32575000000001
"Murcia, Región de",2022,129.51475,23682.906666666666,13.585,113.64458333333333,103.06791666666668,107.95183333333334,101.20858333333332,103.18400000000001,103.53033333333333,106.40991666666667,105.23733333333332,98.72116666666666,100.90433333333334,112.77341666666666
Castilla - La Mancha,2011,133.94575,20479.47333333333,23.075,92.22733333333333,88.60849999999999,98.90541666666667,85.77591666666666,106.05216666666666,81.86341666666667,90.44099999999999,94.91425,113.39916666666666,79.87241666666667,86.21591666666666
Comunitat Valenciana,2008,145.20625,19587.483333333334,11.9775,84.706,83.12308333333333,95.57591666666667,95.17925000000001,101.72008333333333,60.89991666666666,85.00166666666667,96.19441666666667,119.32516666666668,80.45933333333333,86.4355
Cantabria,2011,122.39675,20777.38666666667,15.3,90.86425000000001,86.19350000000001,97.8245,82.93975,103.59675,82.64108333333333,89.59949999999999,94.09724999999999,112.15616666666666,85.68091666666668,86.02991666666667
Castilla - La Mancha,2018,103.97524999999999,21601.783333333333,18.165,96.03291666666667,96.19116666666667,97.78941666666667,98.014,101.97949999999999,98.12075,95.59516666666667,97.22516666666667,103.08941666666668,96.44383333333333,94.827
Extremadura,2021,108.7715,21340.186666666665,20.189999999999998,100.0,99.99991666666666,99.99991666666666,100.0,100.00008333333334,100.00008333333334,99.99991666666666,99.99991666666666,100.00016666666666,99.99991666666666,100.0
Canarias,2014,96.71074999999999,19426.483333333334,32.417500000000004,95.09783333333333,93.88991666666668,104.76350000000001,98.93458333333332,104.87675,75.06366666666666,90.00308333333334,97.81608333333332,99.37408333333333,96.41325,92.16941666666666
Galicia,2009,138.72,19659.593333333334,12.4375,79.34866666666666,85.63541666666667,94.70275,85.74391666666666,105.00816666666667,69.73616666666668,83.36708333333333,94.53991666666667,116.4665,80.74166666666666,84.2605
País Vasco,2019,118.6875,29401.0,9.15,96.84100000000001,97.85808333333334,97.69350000000001,98.72166666666668,101.22491666666667,99.43650000000001,97.68925,98.03166666666668,104.23983333333332,98.02941666666668,95.36966666666666
"Madrid, Comunidad de",2019,141.142,27740.813333333335,10.622499999999999,96.80441666666667,97.65216666666667,99.06091666666667,100.29441666666666,99.35866666666668,99.28616666666666,98.82916666666667,97.96075,104.06433333333332,98.082,96.10674999999999
País Vasco,2022,131.765,32241.36333333333,8.8825,111.19616666666667,103.75641666666667,106.60341666666666,100.60733333333333,103.16991666666667,104.26633333333332,105.96625,102.794,98.76933333333334,101.64075000000001,111.19358333333334
"Murcia, Región de",2012,115.9255,20542.186666666665,27.615000000000002,96.64,91.32275,98.55083333333334,89.98608333333334,104.06175,86.26100000000001,90.43858333333333,94.68283333333333,110.654,86.266,89.60916666666667
País Vasco,2021,123.88250000000001,30951.39333333333,10.2975,100.0,99.99991666666666,100.0,99.99991666666666,99.99991666666666,99.99991666666666,99.99991666666666,100.0,100.0,99.99974999999999,100.00008333333334
Castilla - La Mancha,2017,101.58224999999999,20840.553333333333,20.765,92.76549999999999,95.42491666666666,98.13158333333332,97.79058333333334,102.32166666666667,96.49275,93.5785,96.43091666666668,100.53041666666667,95.37025,93.35216666666666
"Murcia, Región de",2015,100.0,20747.446666666667,24.615,91.44425000000001,94.79375,99.18608333333333,97.80633333333333,102.38175,94.19308333333333,92.29141666666668,95.19749999999999,97.75208333333335,93.34291666666667,92.72608333333334
"Navarra, Comunidad Foral de",2018,107.557,26202.819999999996,10.0275,95.23441666666668,95.34066666666666,96.87616666666668,95.99366666666667,100.88166666666666,98.98816666666666,96.31283333333333,97.11383333333333,104.40675,99.16716666666667,93.31599999999999
"Navarra, Comunidad Foral de",2008,179.108,23063.75,6.83,84.58058333333334,79.488,91.06858333333334,83.16033333333333,101.37308333333334,62.28866666666667,85.90474999999999,94.89299999999999,119.53533333333333,74.41766666666668,86.52758333333334
