salario,comunidad,anio,ipc_valor,poder_adquisitivo
20388.09,"Balears, Illes",2008,87.55081410256412,232.87150678137314
24033.57,Canarias,2023,109.01933333333334,220.45236624696537
23096.92,Canarias,2022,105.7216730769231,218.46911165693223
22466.23,Canarias,2021,99.99996794871795,224.6623720071705
21631.17,Canarias,2020,98.1816346153846,220.31788414134323
20861.14,Canarias,2019,98.30401923076923,212.2104483950789
20763.48,Canarias,2018,97.61655769230768,212.70448877584414
20185.33,Canarias,2017,96.29589743589743,209.61775670076744
19749.03,Canarias,2016,94.88607051282052,208.13413278961332
19856.61,Canarias,2015,94.81678205128203,209.420838488913
19436.48,Canarias,2014,95.05655128205129,204.47280842672464
19167.93,Canarias,2013,95.36280128205128,201.0000727989069
19277.62,Canarias,2012,93.60912179487178,205.93740898716658
19516.96,Canarias,2011,91.63215384615384,212.99248332379128
19315.56,Canarias,2010,89.34158974358975,216.19897357362493
18926.36,Canarias,2009,87.915891025641,215.27803198263732
18466.99,Canarias,2008,87.55081410256412,210.92882104290055
26568.7,Cantabria,2023,109.01933333333334,243.70631508784373
25291.14,Cantabria,2022,105.7216730769231,239.22379644520157
24470.7,Cantabria,2021,99.99996794871795,244.70707843175592
23495.12,Cantabria,2020,98.1816346153846,239.30259556218903
23347.52,Cantabria,2019,98.30401923076923,237.5032087466492
22554.83,Cantabria,2018,97.61655769230768,231.05537147800237
22390.4,Cantabria,2017,96.29589743589743,232.51665539443064
22063.02,Cantabria,2016,94.88607051282052,232.52116860523756
21856.81,Cantabria,2015,94.81678205128203,230.5162601719457
21199.83,Cantabria,2014,95.05655128205129,223.02334467296188
20052.12,Cantabria,2013,95.36280128205128,210.27192710806108
20191.51,Cantabria,2012,93.60912179487178,215.7002396010744
20931.68,Cantabria,2011,91.63215384615384,228.43160529810666
21156.79,Cantabria,2010,89.34158974358975,236.8078524315491
20869.86,Cantabria,2009,87.915891025641,237.38438815245843
20377.68,Cantabria,2008,87.55081410256412,232.75260440328898
25227.03,Castilla y León,2023,109.01933333333334,231.39959884791077
24186.89,Castilla y León,2022,105.7216730769231,228.77891822996045
23564.33,Castilla y León,2021,99.99996794871795,235.64337552672293
22948.76,Castilla y León,2020,98.1816346153846,233.73780738015984
22061.44,Castilla y León,2019,98.30401923076923,224.4205290142883
22034.53,Castilla y León,2018,97.61655769230768,225.72533308799876
21846.88,Castilla y León,2017,96.29589743589743,226.8723858619533
21551.57,Castilla y León,2016,94.88607051282052,227.13102021743077
21296.1,Castilla y León,2015,94.81678205128203,224.60264458755748
20524.83,Castilla y León,2014,95.05655128205129,215.92230859605706
20440.56,Castilla y León,2013,95.36280128205128,214.3452134920372
20569.14,Castilla y León,2012,93.60912179487178,219.73435500307028
21029.37,Castilla y León,2011,91.63215384615384,229.49771578334108
20960.87,Castilla y León,2010,89.34158974358975,234.61492077942276
21037.13,Castilla y León,2009,87.915891025641,239.28700209458654
20218.21,Castilla y León,2008,87.55081410256412,230.93114789674885
24885.63,Castilla - La Mancha,2023,109.01933333333334,228.2680442001113
23751.71,Castilla - La Mancha,2022,105.7216730769231,224.6626383099164
23234.55,Castilla - La Mancha,2021,99.99996794871795,232.3455744697354
22575.01,Castilla - La Mancha,2020,98.1816346153846,229.93108729993176
21908.92,Castilla - La Mancha,2019,98.30401923076923,222.86901564592887
21756.38,Castilla - La Mancha,2018,97.61655769230768,222.87591894581254
21033.32,Castilla - La Mancha,2017,96.29589743589743,218.4238431756818
20825.87,Castilla - La Mancha,2016,94.88607051282052,219.48290078242954
20670.55,Castilla - La Mancha,2015,94.81678205128203,218.00518381672404
20644.88,Castilla - La Mancha,2014,95.05655128205129,217.18524101240138
20630.07,Castilla - La Mancha,2013,95.36280128205128,216.33246635638514
20536.42,Castilla - La Mancha,2012,93.60912179487178,219.3848164178061
20664.9,Castilla - La Mancha,2011,91.63215384615384,225.52018186427676
20363.01,Castilla - La Mancha,2010,89.34158974358975,227.92307656984627
20228.79,Castilla - La Mancha,2009,87.915891025641,230.09253235117868
19736.37,Castilla - La Mancha,2008,87.55081410256412,225.42760112863388
29978.69,Cataluña,2023,109.01933333333334,274.98507909912
28774.55,Cataluña,2022,105.7216730769231,272.1726696385483
28145.02,Cataluña,2021,99.99996794871795,281.45029020842634
27100.11,Cataluña,2020,98.1816346153846,276.02015495221286
25968.2,Cataluña,2019,98.30401923076923,264.1621390783576
25552.84,Cataluña,2018,97.61655769230768,261.76747678958156
25180.45,Cataluña,2017,96.29589743589743,261.49037155775204
24454.64,Cataluña,2016,94.88607051282052,257.7263434752081
24321.57,Cataluña,2015,94.81678205128203,256.5112364480539
23927.17,Cataluña,2014,95.05655128205129,251.71510724182943
24253.73,Cataluña,2013,95.36280128205128,254.33114038109656
24436.39,Cataluña,2012,93.60912179487178,261.04710237051603
24499.32,Cataluña,2011,91.63215384615384,267.3659733147081
